,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
185,NMG,Nouveau Monde Graphite Inc.,214.62M,-0.43%,54686,-
186,SLI,Standard Lithium Ltd.,211.22M,-0.84%,1151187,-
187,ODV,Osisko Development Corp.,211.09M,-1.60%,34880,32.55M
188,CTGO,"Contango Ore, Inc.",202.85M,0.62%,23036,-
189,CMCL,Caledonia Mining Corporation Plc,202.23M,-5.16%,32530,141.83M
190,USAP,"Universal Stainless & Alloy Products, Inc.",197.76M,-5.15%,68552,262.36M
191,EMX,EMX Royalty Corporation,189.77M,-2.91%,224524,12.48M
192,DC,Dakota Gold Corp.,187.36M,-1.39%,125497,-
193,NAK,Northern Dynasty Minerals Ltd.,180.41M,-0.37%,2473568,-
194,NEWP,New Pacific Metals Corp.,179.53M,-0.97%,148376,-
195,SMID,Smith-Midland Corporation,177.07M,3.36%,13706,57.68M
196,TSE,Trinseo PLC,167.85M,-8.08%,528424,3.68B
197,GLDG,GoldMining Inc.,167.57M,-5.86%,516997,-
198,CMT,"Core Molding Technologies, Inc.",166.10M,-5.21%,60000,357.74M
199,GEVO,"Gevo, Inc.",164.93M,-4.32%,11640787,17.20M
200,AMLI,American Lithium Corp.,158.10M,-3.96%,699569,-
201,ATLX,Atlas Lithium Corporation,157.39M,-5.09%,104958,620.00
202,NWGL,Nature Wood Group Limited,151.60M,1.64%,1052,55.34M
203,ALTO,"Alto Ingredients, Inc.",148.76M,1.52%,684315,1.22B
204,THM,International Tower Hill Mines Ltd.,143.54M,-0.59%,202231,-
205,DNMR,"Danimer Scientific, Inc.",141.83M,-12.74%,978478,51.06M
206,NTIC,Northern Technologies International Corporation,133.02M,-0.28%,2215,80.13M
207,AREC,American Resources Corporation,125.23M,2.50%,125837,21.36M
208,FRD,"Friedman Industries, Incorporated",124.32M,-0.56%,11700,508.21M
209,LOOP,"Loop Industries, Inc.",123.58M,5.38%,12784,119.49K
210,PLG,Platinum Group Metals Ltd.,116.83M,-5.00%,312600,-
211,LGO,Largo Inc.,116.57M,-4.21%,60026,202.02M
212,ABAT,American Battery Technology Company,113.11M,15.34%,635945,-
213,TRX,TRX Gold Corporation,109.30M,-2.13%,140270,38.01M
214,ACNT,Ascent Industries Co.,106.82M,-,502,280.79M
215,IDR,"Idaho Strategic Resources, Inc.",99.28M,-1.11%,14461,13.31M
216,VOXR,Vox Royalty Corp.,95.23M,-3.06%,53137,12.31M
217,NB,NioCorp Developments Ltd.,95.05M,-1.09%,69553,-
218,FEAM,5E Advanced Materials Inc.,87.97M,-7.19%,359203,-
219,GLT,Glatfelter Corporation,86.23M,-2.62%,591034,1.39B
220,TMQ,Trilogy Metals Inc.,85.36M,-5.41%,126362,-
