,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
191,FFIN,"First Financial Bankshares, Inc.",4.48B,-3.59%,479891,481.18M
192,GBCI,"Glacier Bancorp, Inc.",4.48B,-4.58%,654055,794.97M
193,FRHC,Freedom Holding Corp.,4.45B,1.39%,45190,1.40B
194,AEL,American Equity Investment Life Holding Company,4.45B,-0.09%,470917,2.84B
195,WTM,"White Mountains Insurance Group, Ltd.",4.44B,0.19%,9234,2.17B
196,DNB,"Dun & Bradstreet Holdings, Inc.",4.41B,-2.24%,3200819,2.31B
197,BNRE.A,Brookfield Reinsurance Ltd,4.40B,-3.22%,1158,6.25B
198,GGAL,Grupo Financiero Galicia S.A.,4.35B,-3.87%,1044525,8.95B
199,PFSI,"PennyMac Financial Services, Inc.",4.29B,-1.96%,143306,1.40B
200,CRVL,CorVel Corporation,4.24B,4.65%,88117,773.52M
201,COLB,"Columbia Banking System, Inc.",4.02B,-4.15%,3633934,1.78B
202,VLY,Valley National Bancorp,4.00B,-4.45%,7706142,1.84B
203,UMBF,UMB Financial Corporation,3.92B,-1.53%,279196,1.42B
204,AB,AllianceBernstein Holding L.P.,3.90B,-2.14%,459790,299.78M
205,MAIN,Main Street Capital Corporation,3.89B,-0.78%,264409,500.39M
206,PJT,PJT Partners Inc.,3.84B,-0.66%,216435,1.15B
207,KMPR,Kemper Corporation,3.78B,-,286541,4.94B
208,HWC,Hancock Whitney Corporation,3.76B,-2.89%,420809,1.33B
209,STEP,StepStone Group Inc.,3.71B,-2.64%,176095,527.20M
210,MC,Moelis & Company,3.62B,-2.13%,450907,854.75M
211,CNS,"Cohen & Steers, Inc.",3.58B,-2.88%,142467,489.64M
212,LU,Lufax Holding Ltd,3.55B,-4.39%,2398279,5.46B
213,TFSL,TFS Financial Corporation,3.52B,-2.00%,332365,301.59M
214,AMTD,AMTD IDEA Group,3.51B,-2.86%,17930,235.75M
215,SFBS,"ServisFirst Bancshares, Inc.",3.48B,-3.55%,309609,422.64M
216,LAZ,Lazard Ltd,3.45B,-1.87%,798251,2.52B
217,BGC,"BGC Group, Inc",3.39B,-1.06%,6460249,2.03B
218,IBOC,International Bancshares Corporation,3.32B,-0.86%,236984,798.87M
219,BMA,Banco Macro S.A.,3.29B,-1.49%,315850,2.81B
220,NNI,"Nelnet, Inc.",3.29B,-1.31%,106090,1.15B
221,IFS,Intercorp Financial Services Inc.,3.18B,-1.25%,48150,1.15B
222,ABCB,Ameris Bancorp,3.13B,-1.54%,436975,935.22M
223,BUR,Burford Capital Limited,3.12B,4.37%,1492990,-
224,WD,"Walker & Dunlop, Inc.",3.09B,-2.40%,317983,1.05B
225,UCBI,"United Community Banks, Inc.",3.06B,-2.20%,653153,803.82M
226,ASB,Associated Banc-Corp,3.04B,-3.00%,1003098,1.02B
227,HGTY,"Hagerty, Inc.",3.02B,-3.44%,106180,1.00B
228,APAM,Artisan Partners Asset Management Inc.,3.02B,-2.29%,425727,975.13M
