,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
137,DAO,"Youdao, Inc.",557.72M,-5.57%,166567,760.11M
138,CVGW,"Calavo Growers, Inc.",524.93M,-0.92%,209901,873.35M
139,ISPR,Ispire Technology Inc.,493.40M,-2.88%,34668,141.32M
140,VTRU,Vitru Limited,488.91M,3.88%,338,377.63M
141,TPB,"Turning Point Brands, Inc.",488.19M,-0.65%,191834,405.39M
142,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,473.64M,-0.94%,30085,277.76M
143,SKIN,The Beauty Health Company,471.49M,-10.12%,5210617,397.99M
144,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",408.86M,-1.78%,52288,1.16B
145,VLGEA,"Village Super Market, Inc.",407.72M,-1.19%,16626,2.20B
146,NATR,"Nature's Sunshine Products, Inc.",374.31M,-1.36%,113110,445.32M
147,SENEA,Seneca Foods Corporation,370.51M,-1.58%,33887,1.48B
148,SENEB,Seneca Foods Corporation,367.90M,0.14%,104,1.48B
149,LMNR,Limoneira Company,333.63M,1.62%,46662,181.73M
150,VSTA,Vasta Platform Limited,317.90M,3.14%,110215,288.01M
151,LINC,Lincoln Educational Services Corporation,311.56M,-2.10%,64962,378.07M
152,DDL,Dingdong (Cayman) Limited,298.53M,-6.52%,307625,2.82B
153,AFRI,Forafric Global PLC,280.62M,-0.77%,18086,280.40M
154,APEI,"American Public Education, Inc.",224.07M,-1.88%,101753,600.55M
155,MYND,Mynd.ai Inc,221.06M,-2.98%,14599,38.46M
156,ALCO,"Alico, Inc.",207.13M,-0.26%,21751,43.24M
157,FREE,"Whole Earth Brands, Inc.",204.86M,-,470732,550.91M
158,MAMA,"Mama's Creations, Inc.",186.87M,-3.11%,94770,99.38M
159,HFFG,HF Foods Group Inc.,184.12M,-1.18%,54231,1.16B
160,QSG,QuantaSing Group Ltd,165.50M,4.64%,87167,3.49B
161,LWAY,"Lifeway Foods, Inc.",163.95M,0.63%,17298,153.87M
162,STG,Sunlands Technology Group,144.36M,4.19%,453,302.12M
163,ACU,Acme United Corporation,142.24M,0.51%,23714,191.50M
164,WILC,G. Willi-Food International Ltd.,138.12M,1.77%,169,141.13M
165,DIT,AMCON Distributing Company,120.59M,0.57%,1248,2.62B
166,JZ,Jianzhi Education Technology Group Company Limited,116.87M,3.66%,3704,525.98M
167,BIG,"Big Lots, Inc.",116.57M,-6.02%,1389014,4.83B
168,IH,iHuman Inc.,103.11M,0.52%,6616,143.60M
169,FTLF,"FitLife Brands, Inc.",99.60M,0.92%,1001,44.77M
170,BRID,Bridgford Foods Corporation,97.57M,1.70%,1784,244.86M
171,SKIL,Skillsoft Corp.,94.72M,-7.73%,67994,-
172,LFVN,LifeVantage Corporation,88.02M,0.73%,26633,210.95M
173,AXIL,AXIL Brands Inc.,79.03M,0.40%,4923,27.08M
174,DTCK,Davis Commodities Limited,78.56M,-1.75%,17342,206.72M
175,VFF,"Village Farms International, Inc.",77.19M,-1.44%,332695,285.60M
176,ZVIA,Zevia PBC,76.79M,-7.75%,186315,166.42M
177,FARM,Farmer Bros. Co.,72.71M,-1.16%,28420,381.07M
178,GROV,"Grove Collaborative Holdings, Inc.",65.54M,-0.57%,106700,273.46M
179,AIU,Meta Data Limited,65.43M,-11.78%,5522,32.43M
180,BEDU,Bright Scholar Education Holdings Limited,62.72M,-1.82%,2062,-
181,ATPC,Agape ATP Corporation,59.37M,-0.45%,46390,1.43M
182,AACG,ATA Creativity Global,49.93M,1.89%,17776,29.79M
183,COE,51 Talk Online Education Group,37.14M,-2.24%,125,24.69M
184,UG,"United-Guardian, Inc.",36.20M,-3.81%,12185,11.04M
185,NAII,"Natural Alternatives International, Inc.",34.89M,0.35%,8031,127.76M
186,LXEH,"Lixiang Education Holding Co., Ltd.",32.63M,9.05%,574822,7.24M
187,TWOU,"2U, Inc.",30.22M,-2.27%,1731532,945.95M
188,YQ,17 Education & Technology Group Inc.,29.63M,1.00%,7000,22.44M
189,AAGR,African Agriculture Holdings Inc.,28.29M,0.39%,546774,1.65M
190,GNS,Genius Group Limited,28.27M,36.90%,34993992,22.55M
191,WVVI,"Willamette Valley Vineyards, Inc.",25.49M,2.50%,1536,39.77M
192,MSS,Maison Solutions Inc.,25.20M,-8.33%,61554,57.34M
193,BTOG,Bit Origin Limited,24.57M,19.23%,514244,6.26M
194,VWE,"Vintage Wine Estates, Inc.",23.96M,-9.09%,222512,268.01M
195,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
196,RMCF,"Rocky Mountain Chocolate Factory, Inc.",23.24M,5.17%,14159,26.30M
197,FEDU,Four Seasons Education (Cayman) Inc.,23.10M,-,9,11.33M
198,DDC,DDC Enterprise Limited,22.86M,-11.11%,12149,28.11M
199,SBEV,"Splash Beverage Group, Inc.",22.74M,-5.58%,86294,20.95M
200,LOCL,Local Bounti Corporation,22.12M,2.45%,3968,27.33M
201,LSF,"Laird Superfood, Inc.",21.96M,25.79%,5531128,34.22M
202,PLAG,Planet Green Holdings Corp.,20.90M,-,19922,24.26M
203,SANW,S&W Seed Company,19.06M,-4.07%,57066,68.01M
204,RGF,"The Real Good Food Company, Inc.",18.27M,-11.02%,604533,156.38M
205,SDOT,Sadot Group Inc.,17.68M,2.18%,148675,708.48M
206,STKH,Steakholder Foods Ltd.,17.12M,-4.64%,31771,-
207,MTEX,"Mannatech, Incorporated",16.46M,1.81%,429,133.60M
208,TCTM,TCTM Kids IT Education Inc.,16.36M,2.44%,96977,293.63M
209,NCRA,"Nocera, Inc.",15.51M,1.15%,1770,24.07M
210,BRFH,"Barfresh Food Group, Inc.",15.32M,-,14791,7.64M
211,EDTK,Skillful Craftsman Education Technology Limited,14.37M,-1.58%,1413,5.52M
212,PAVS,Paranovus Entertainment Technology Ltd.,14.06M,-2.20%,97,51.46M
213,EEIQ,EpicQuest Education Group International Limited,12.77M,-5.94%,432,5.71M
214,PETZ,"TDH Holdings, Inc.",12.28M,-3.25%,6755,3.20M
215,VINE,"Fresh Vine Wine, Inc.",10.70M,-5.63%,102706,1.83M
216,TKLF,"Yoshitsu Co., Ltd",10.69M,8.86%,2632564,166.27M
217,GSUN,Golden Sun Education Group Limited,9.98M,1.91%,18187,6.16M
218,GV,Visionary Education Technology Holdings Group Inc.,9.45M,-7.04%,82345,8.43M
219,WAFU,Wah Fu Education Group Limited,8.47M,-4.12%,2052,10.69M
220,AQB,"AquaBounty Technologies, Inc.",8.04M,-0.47%,26563,2.37M
221,JVA,"Coffee Holding Co., Inc.",7.54M,-8.33%,43773,68.17M
222,BOF,BranchOut Food Inc.,7.36M,-11.22%,22380,1.37M
223,LQR,LQR House Inc.,7.11M,-6.00%,89858,880.44K
224,BTCT,BTC Digital Ltd.,6.72M,-7.60%,9929,-20.57M
225,BON,Bon Natural Life Limited,6.13M,1.36%,45314,29.52M
226,KAVL,"Kaival Brands Innovations Group, Inc.",6.12M,-2.33%,14671,13.09M
227,XXII,"22nd Century Group, Inc.",5.89M,-1.34%,751100,82.41M
228,FAMI,"Farmmi, Inc.",5.57M,1.51%,78729,110.36M
229,BRSH,Bruush Oral Care Inc.,5.31M,-0.19%,2112576,-
230,AMBO,Ambow Education Holding Ltd.,4.96M,-2.29%,23529,14.68M
231,BTTR,Better Choice Company Inc.,4.60M,7.09%,528081,42.16M
232,SNAX,"Stryve Foods, Inc.",3.48M,-1.61%,24057,20.23M
233,CLEU,China Liberal Education Holdings Limited,2.91M,-3.30%,21632,17.89M
234,TANH,Tantech Holdings Ltd,2.40M,-5.88%,71205,46.21M
235,EDBL,Edible Garden AG Incorporated,2.00M,5.14%,31699,13.04M
236,EAST,"Eastside Distilling, Inc.",1.98M,-3.17%,11979,10.81M
237,BSFC,Blue Star Foods Corp.,1.91M,2.73%,1315699,7.17M
238,NUZE,"NuZee, Inc.",1.87M,5.80%,14647,3.35M
239,GNLN,"Greenlane Holdings, Inc.",1.82M,-4.71%,7790,77.34M
240,AGRI,AgriFORCE Growing Systems Ltd.,880.19K,-11.96%,1748498,-
