,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
185,FRSH,Freshworks Inc.,5.58B,-3.79%,3277126,596.43M
186,ALGM,"Allegro MicroSystems, Inc.",5.52B,-4.02%,1567622,1.08B
187,TENB,"Tenable Holdings, Inc.",5.52B,-1.14%,525894,798.71M
188,SMAR,Smartsheet Inc.,5.49B,-2.33%,2464902,913.73M
189,VRNS,"Varonis Systems, Inc.",5.46B,-1.88%,1069431,499.16M
190,STNE,StoneCo Ltd.,5.43B,0.41%,2943273,2.31B
191,ST,Sensata Technologies Holding plc,5.39B,-1.09%,1745158,4.05B
192,CLS,Celestica Inc.,5.33B,-1.35%,1254164,7.96B
193,PEGA,Pegasystems Inc.,5.30B,-0.82%,447835,1.43B
194,BRZE,"Braze, Inc.",5.28B,-1.91%,610724,439.52M
195,HCP,"HashiCorp, Inc.",5.25B,-2.35%,1376355,583.14M
196,EXLS,"ExlService Holdings, Inc.",5.14B,-0.90%,706608,1.63B
197,ALIT,"Alight, Inc.",5.06B,-2.56%,5272479,3.41B
198,DLO,DLocal Limited,5.05B,-0.68%,724427,580.77M
199,KD,"Kyndryl Holdings, Inc.",4.94B,2.89%,1575884,16.46B
200,CRUS,"Cirrus Logic, Inc.",4.94B,-1.79%,560594,1.79B
201,NVMI,Nova Ltd.,4.92B,-0.01%,73917,517.92M
202,EEFT,"Euronet Worldwide, Inc.",4.87B,2.34%,353063,3.69B
203,ASGN,ASGN Incorporated,4.80B,-2.22%,240426,4.45B
204,GBTG,"Global Business Travel Group, Inc.",4.75B,0.36%,121331,2.29B
205,CLVT,Clarivate Plc,4.71B,-0.71%,3823560,2.63B
206,VERX,"Vertex, Inc.",4.58B,0.81%,461662,572.39M
207,WK,Workiva Inc.,4.55B,-2.92%,381699,630.04M
208,BMI,"Badger Meter, Inc.",4.52B,-1.09%,134106,703.59M
209,CWAN,"Clearwater Analytics Holdings, Inc.",4.51B,-0.73%,1445015,368.17M
210,PAGS,PagSeguro Digital Ltd.,4.48B,-0.07%,1868145,3.27B
211,FROG,JFrog Ltd.,4.47B,-0.73%,691671,349.89M
212,SLAB,Silicon Laboratories Inc.,4.47B,-4.36%,307055,782.26M
213,FIVN,"Five9, Inc.",4.39B,-1.20%,1054672,910.49M
214,AVT,"Avnet, Inc.",4.38B,-1.92%,710793,25.61B
215,SQSP,"Squarespace, Inc.",4.37B,-0.81%,753792,1.01B
216,CVLT,"Commvault Systems, Inc.",4.35B,0.25%,272541,819.43M
217,BOX,"Box, Inc.",4.29B,-0.84%,2804514,1.04B
218,CNXC,Concentrix Corporation,4.14B,-1.42%,554725,7.11B
219,BL,"BlackLine, Inc.",4.14B,-2.23%,1379488,590.00M
220,POWI,"Power Integrations, Inc.",4.12B,-3.09%,367229,444.54M
221,IPGP,IPG Photonics Corporation,4.12B,-2.53%,292171,1.29B
222,ITRI,"Itron, Inc.",4.06B,-2.19%,403202,2.17B
223,SYNA,Synaptics Incorporated,4.03B,-3.02%,181240,1.03B
224,BLKB,"Blackbaud, Inc.",3.95B,-1.46%,285523,1.11B
225,RELY,"Remitly Global, Inc.",3.89B,-2.23%,1192427,944.29M
226,SATS,EchoStar Corporation,3.84B,-8.60%,2396399,17.02B
227,SEDG,"SolarEdge Technologies, Inc.",3.74B,-4.83%,2355279,2.98B
228,DXC,DXC Technology Company,3.74B,-1.11%,1692839,13.87B
229,TDC,Teradata Corporation,3.71B,-0.81%,1194268,1.83B
230,CXM,"Sprinklr, Inc.",3.71B,-1.74%,3215814,703.48M
231,ALRM,"Alarm.com Holdings, Inc.",3.70B,-1.33%,193033,881.68M
232,ASAN,"Asana, Inc.",3.60B,-0.25%,2588505,652.50M
233,DOCN,"DigitalOcean Holdings, Inc.",3.54B,-3.82%,796576,692.88M
234,AI,"C3.ai, Inc.",3.54B,-4.18%,5733308,296.40M
235,ACLS,"Axcelis Technologies, Inc.",3.53B,-0.50%,627769,1.13B
236,SANM,Sanmina Corporation,3.52B,-1.54%,400015,8.45B
237,BDC,Belden Inc.,3.51B,-1.38%,232514,2.51B
238,AYX,"Alteryx, Inc.",3.49B,0.02%,2980467,970.00M
239,WOLF,"Wolfspeed, Inc.",3.47B,-5.59%,5168379,870.30M
240,TSEM,Tower Semiconductor Ltd.,3.45B,-0.39%,402876,1.42B
241,PWSC,"PowerSchool Holdings, Inc.",3.44B,1.41%,800656,697.65M
242,PI,"Impinj, Inc.",3.42B,9.79%,977988,307.54M
243,CAMT,Camtek Ltd.,3.42B,0.01%,324376,315.38M
244,AUR,"Aurora Innovation, Inc.",3.41B,1.35%,7618358,-
245,FORM,"FormFactor, Inc.",3.40B,-1.32%,417891,663.10M
246,PYCR,"Paycor HCM, Inc.",3.39B,-1.81%,827198,604.65M
247,NCNO,"nCino, Inc.",3.38B,-2.04%,699728,462.03M
248,ACIW,"ACI Worldwide, Inc.",3.38B,-0.82%,378921,1.45B
249,RNG,"RingCentral, Inc.",3.35B,-2.56%,902409,2.20B
250,LPL,"LG Display Co., Ltd.",3.33B,3.64%,253816,16.47B
251,CRDO,Credo Technology Group Holding Ltd,3.31B,-4.63%,1917452,164.28M
252,NVEI,Nuvei Corporation,3.20B,-2.48%,493600,1.19B
253,RPD,"Rapid7, Inc.",3.20B,-2.90%,878299,777.71M
254,SPT,"Sprout Social, Inc.",3.17B,0.02%,657859,333.64M
255,DIOD,Diodes Incorporated,3.13B,-3.84%,437297,1.66B
256,FLYW,Flywire Corporation,3.13B,-2.82%,1051656,403.09M
257,LITE,Lumentum Holdings Inc.,3.12B,-1.72%,1850262,1.44B
258,INST,"Instructure Holdings, Inc.",3.11B,-1.17%,275282,530.21M
259,VSH,"Vishay Intertechnology, Inc.",3.11B,-2.08%,1558050,3.40B
260,CLSK,"CleanSpark, Inc.",3.08B,-7.42%,33861095,214.38M
261,PAY,"Paymentus Holdings, Inc.",3.08B,-5.59%,885794,614.49M
262,MQ,"Marqeta, Inc.",3.06B,-1.49%,7138004,676.17M
263,SRAD,Sportradar Group AG,3.06B,-1.46%,162406,884.39M
264,YOU,"Clear Secure, Inc.",2.99B,-3.12%,2008480,613.58M
265,QTWO,"Q2 Holdings, Inc.",2.98B,-3.37%,762124,624.62M
266,RIOT,"Riot Blockchain, Inc.",2.97B,-6.82%,21411169,280.68M
267,ENV,"Envestnet, Inc.",2.94B,-1.49%,344542,1.25B
268,APPN,Appian Corporation,2.72B,2.48%,897395,545.36M
269,SOUN,"SoundHound AI, Inc.",2.67B,-3.24%,222597016,45.87M
270,KLIC,"Kulicke and Soffa Industries, Inc.",2.67B,-2.45%,296449,737.45M
271,AVDX,"AvidXchange Holdings, Inc.",2.66B,-3.84%,1354602,380.72M
272,ESE,ESCO Technologies Inc.,2.62B,-2.69%,107242,968.85M
273,PLXS,Plexus Corp.,2.62B,0.89%,163145,4.10B
274,WNS,WNS (Holdings) Limited,2.52B,-4.81%,576965,1.30B
275,EVTC,"EVERTEC, Inc.",2.45B,-1.06%,362873,694.71M
276,INTA,"Intapp, Inc.",2.44B,-1.18%,711743,392.15M
277,NABL,"N-able, Inc.",2.43B,0.77%,733087,421.88M
278,ODD,Oddity Tech Ltd.,2.41B,-4.34%,1851181,508.69M
279,SIMO,Silicon Motion Technology Corporation,2.38B,-0.06%,153845,945.92M
280,RUM,Rumble Inc.,2.38B,-8.84%,5923768,80.53M
281,PRGS,Progress Software Corporation,2.36B,-1.36%,240022,694.44M
282,CLBT,Cellebrite DI Ltd.,2.34B,-0.08%,806714,325.11M
283,SONO,"Sonos, Inc.",2.34B,-1.22%,1860194,1.60B
284,VSAT,"Viasat, Inc.",2.32B,-8.21%,1679792,3.80B
285,JAMF,Jamf Holding Corp.,2.27B,2.35%,404962,560.57M
286,ZETA,Zeta Global Holdings Corp.,2.27B,0.58%,1080214,728.72M
287,TIXT,TELUS International (Cda) Inc.,2.26B,-1.88%,273392,2.71B
288,ALKT,"Alkami Technology, Inc.",2.26B,-1.22%,295293,264.83M
289,RAMP,"LiveRamp Holdings, Inc.",2.26B,-0.97%,436101,636.44M
290,CALX,"Calix, Inc.",2.23B,-1.29%,1006382,1.04B
291,PLUS,ePlus inc.,2.22B,-3.33%,342676,2.16B
292,OSIS,"OSI Systems, Inc.",2.21B,1.15%,112260,1.37B
293,VIAV,Viavi Solutions Inc.,2.20B,-2.26%,1927198,1.01B
294,VZIO,VIZIO Holding Corp.,2.20B,0.09%,1022106,1.68B
295,ROG,Rogers Corporation,2.20B,0.08%,218790,908.40M
296,PRFT,"Perficient, Inc.",2.20B,-3.90%,227651,906.54M
297,VYX,NCR Voyix Corporation,2.20B,-0.24%,3319576,7.90B
298,DAVA,Endava plc,2.16B,-1.93%,625787,968.73M
299,PD,"PagerDuty, Inc.",2.15B,-1.97%,2267372,420.55M
300,AMBA,"Ambarella, Inc.",2.14B,-3.96%,629509,258.18M
301,RUN,Sunrun Inc.,2.10B,-4.61%,19656557,2.26B
302,XRX,Xerox Holdings Corporation,2.09B,-1.48%,2792015,6.89B
303,SITM,SiTime Corporation,2.07B,-3.91%,187536,143.99M
304,AGYS,"Agilysys, Inc.",2.06B,0.19%,132513,228.14M
305,LSPD,Lightspeed Commerce Inc.,2.02B,-2.76%,584789,863.28M
306,IONQ,"IonQ, Inc.",2.01B,-4.47%,7176633,22.04M
307,SHLS,"Shoals Technologies Group, Inc.",1.99B,-1.42%,3030528,488.94M
308,SWI,SolarWinds Corporation,1.99B,-2.12%,291655,758.74M
309,UCTT,"Ultra Clean Holdings, Inc.",1.98B,-3.02%,260206,1.73B
310,VECO,Veeco Instruments Inc.,1.94B,-1.57%,360060,666.44M
311,VRNT,Verint Systems Inc.,1.94B,0.88%,480323,881.53M
312,BMBL,Bumble Inc.,1.88B,-2.05%,5048900,1.05B
313,PLAB,"Photronics, Inc.",1.87B,-3.05%,479504,897.32M
314,DQ,Daqo New Energy Corp.,1.81B,-7.19%,1542318,2.31B
315,GRND,Grindr Inc.,1.81B,-3.52%,886328,259.69M
316,UPBD,"Upbound Group, Inc.",1.81B,-0.90%,346603,3.99B
317,BB,BlackBerry Limited,1.80B,-1.60%,18140346,831.00M
318,ARRY,"Array Technologies, Inc.",1.79B,-0.58%,4328837,1.58B
319,FSLY,"Fastly, Inc.",1.77B,-3.26%,5215556,505.99M
320,EVCM,EverCommerce Inc.,1.76B,-1.68%,123657,675.37M
321,NTCT,"NetScout Systems, Inc.",1.70B,-0.88%,1001303,834.11M
322,CNXN,"PC Connection, Inc.",1.70B,-1.03%,38271,2.85B
323,SPNS,Sapiens International Corporation N.V.,1.70B,-1.25%,119988,514.58M
324,ACMR,"ACM Research, Inc.",1.68B,-4.45%,1153155,557.72M
325,PRO,"PROS Holdings, Inc.",1.67B,-2.44%,195608,303.71M
326,COMP,"Compass, Inc.",1.66B,-6.30%,4177620,4.89B
327,VTEX,VTEX,1.65B,-1.67%,212362,201.52M
328,PAYO,Payoneer Global Inc.,1.64B,-2.91%,2830767,831.10M
329,SEMR,"Semrush Holdings, Inc.",1.61B,0.09%,531576,307.68M
330,NATL,NCR Atleos Corporation,1.60B,1.20%,831100,-
331,VICR,Vicor Corporation,1.60B,-1.00%,216891,405.06M
332,DCBO,Docebo Inc.,1.60B,1.88%,135221,180.84M
333,GCT,GigaCloud Technology Inc.,1.54B,-7.68%,2654972,584.70M
334,MXL,"MaxLinear, Inc.",1.53B,-4.22%,611364,693.26M
335,GDS,GDS Holdings Limited,1.51B,-5.11%,2822538,1.35B
336,CSGS,"CSG Systems International, Inc.",1.50B,-2.04%,238377,1.17B
337,SMTC,Semtech Corporation,1.49B,-3.07%,1195952,843.32M
338,STER,Sterling Check Corp.,1.48B,0.19%,1334090,719.64M
339,EXTR,"Extreme Networks, Inc.",1.48B,-1.22%,2520595,1.35B
340,TTMI,"TTM Technologies, Inc.",1.48B,-1.86%,383089,2.23B
341,COHU,"Cohu, Inc.",1.46B,-0.86%,443204,636.32M
342,HLIT,Harmonic Inc.,1.45B,-0.62%,811926,607.91M
343,AVPT,"AvePoint, Inc.",1.44B,-0.89%,900675,271.83M
344,EVBG,"Everbridge, Inc.",1.44B,0.03%,284250,448.79M
345,KN,Knowles Corporation,1.38B,-1.86%,477625,707.60M
346,CTS,CTS Corporation,1.37B,0.34%,109105,550.42M
347,MLNK,"MeridianLink, Inc.",1.37B,-1.05%,375987,303.62M
348,BASE,"Couchbase, Inc.",1.35B,0.72%,881637,171.57M
349,AMPL,"Amplitude, Inc.",1.34B,-0.72%,405450,276.28M
350,JKS,"JinkoSolar Holding Co., Ltd.",1.33B,-6.04%,1075308,15.94B
351,PDFS,"PDF Solutions, Inc.",1.32B,-1.37%,190776,165.84M
352,ZUO,"Zuora, Inc.",1.30B,-2.64%,1285286,424.03M
353,CRSR,"Corsair Gaming, Inc.",1.29B,-2.53%,325495,1.46B
354,DBD,"Diebold Nixdorf, Incorporated",1.27B,-0.09%,184753,3.49B
