,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
202,NGS,"Natural Gas Services Group, Inc.",220.64M,-0.34%,38340,108.77M
203,NC,"NACCO Industries, Inc.",217.45M,-2.13%,20341,214.79M
204,SMLP,"Summit Midstream Partners, LP",212.50M,-0.39%,11564,417.31M
205,EPM,Evolution Petroleum Corporation,202.08M,-0.51%,298429,96.67M
206,GTE,Gran Tierra Energy Inc.,194.41M,0.66%,311560,636.96M
207,PNRG,PrimeEnergy Resources Corporation,178.96M,-3.37%,1056,111.14M
208,GEOS,Geospace Technologies Corporation,161.27M,4.54%,40640,143.43M
209,EP,Empire Petroleum Corporation,151.42M,-4.40%,52711,37.42M
210,AMTX,"Aemetis, Inc.",130.37M,-3.03%,362212,182.69M
211,KGEI,Kolibri Global Energy Inc.,129.32M,4.91%,4507,-
212,KLXE,"KLX Energy Services Holdings, Inc.",119.90M,-1.67%,271609,888.40M
213,PHX,PHX Minerals Inc.,113.44M,-,107851,44.46M
214,VTNR,"Vertex Energy, Inc.",110.35M,1.69%,2402992,3.18B
215,EPSN,Epsilon Energy Ltd.,109.47M,1.90%,36683,37.38M
216,FTK,"Flotek Industries, Inc.",108.27M,-0.27%,144983,194.09M
217,VOC,VOC Energy Trust,103.53M,-0.49%,42070,19.14M
218,MMLP,Martin Midstream Partners L.P.,103.35M,-,74698,797.96M
219,CRT,Cross Timbers Royalty Trust,102.30M,1.23%,17114,12.71M
220,DLNG,Dynagas LNG Partners LP,99.37M,-2.48%,28493,158.59M
221,BATL,Battalion Oil Corporation,94.79M,2.26%,11705,250.32M
222,DTI,Drilling Tools International Corp.,89.90M,3.13%,4291,-
223,IMPP,Imperial Petroleum Inc.,85.40M,-6.47%,619610,183.73M
224,SND,"Smart Sand, Inc.",81.29M,-,118259,295.97M
225,PFIE,"Profire Energy, Inc.",79.95M,4.17%,546487,58.21M
226,NINE,"Nine Energy Service, Inc.",77.01M,-2.75%,623846,609.53M
227,SLNG,"Stabilis Solutions, Inc.",74.71M,0.25%,1977,73.11M
228,PED,PEDEVCO Corp.,68.93M,5.76%,149070,29.97M
229,AE,"Adams Resources & Energy, Inc.",62.91M,-0.93%,3311,2.75B
230,PRT,PermRock Royalty Trust,54.02M,-,66553,9.03M
231,NRT,North European Oil Royalty Trust,49.35M,-0.92%,35734,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,49.00M,1.33%,93795,22.11M
233,PVL,Permianville Royalty Trust,44.55M,5.19%,73783,15.17M
234,DWSN,Dawson Geophysical Company,42.21M,5.26%,1314,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",38.18M,0.61%,1126,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.20M,0.38%,265339,21.95M
237,ICD,"Independence Contract Drilling, Inc.",27.02M,-,24397,210.11M
238,CKX,"CKX Lands, Inc.",26.65M,-1.67%,1794,1.08M
239,BANL,CBL International Limited,25.75M,-0.97%,1339,419.17M
240,USEG,U.S. Energy Corp.,25.51M,1.00%,42501,35.37M
241,BRN,"Barnwell Industries, Inc.",23.77M,0.42%,2975,23.91M
242,RCON,"Recon Technology, Ltd.",22.42M,-8.62%,263480,9.27M
243,VIVK,"Vivakor, Inc.",22.29M,10.59%,16886,61.79M
244,CEI,"Camber Energy, Inc.",22.04M,-1.13%,1861528,10.35M
245,INDO,Indonesia Energy Corporation Limited,22.01M,-2.76%,34099,3.61M
246,MXC,Mexco Energy Corporation,21.63M,1.75%,3163,7.01M
247,MTR,Mesa Royalty Trust,18.74M,1.01%,715,4.13M
248,HUSA,Houston American Energy Corp.,14.07M,3.10%,62274,872.18K
249,MARPS,Marine Petroleum Trust,8.00M,-1.23%,168,1.18M
250,ENSV,Enservco Corporation,5.16M,2.71%,175012,22.08M
251,TPET,Trio Petroleum Corp.,3.58M,1.80%,623034,-
