,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
186,VC,Visteon Corporation,3.24B,-3.71%,256549,3.95B
187,PRKS,United Parks & Resorts Inc.,3.24B,-0.92%,962874,1.73B
188,TNL,Travel + Leisure Co.,3.22B,-1.21%,544185,3.75B
189,CRI,"Carter's, Inc.",3.21B,-3.31%,852898,2.95B
190,MLCO,Melco Resorts & Entertainment Limited,3.15B,-3.31%,4212073,3.78B
191,CVCO,"Cavco Industries, Inc.",3.13B,-2.81%,59651,1.85B
192,SHOO,"Steven Madden, Ltd.",3.12B,-1.40%,999783,1.98B
193,UAA,"Under Armour, Inc.",3.08B,-10.74%,31331280,5.77B
194,GEF,"Greif, Inc.",3.05B,-,184244,5.15B
195,SVV,"Savers Value Village, Inc.",3.04B,-5.62%,812173,1.50B
196,GEF.B,"Greif, Inc.",3.04B,-1.50%,18485,5.15B
197,ADNT,Adient plc,2.97B,-5.47%,1029953,15.36B
198,AIN,Albany International Corp.,2.91B,-1.66%,95050,1.15B
199,PENN,"PENN Entertainment, Inc.",2.90B,-4.57%,3701281,6.36B
200,JWN,"Nordstrom, Inc.",2.86B,-2.17%,3313236,14.59B
201,LTH,"Life Time Group Holdings, Inc.",2.84B,-0.69%,910497,2.22B
202,ACVA,ACV Auctions Inc.,2.82B,-1.42%,1196431,481.23M
203,DORM,"Dorman Products, Inc.",2.82B,-0.39%,160515,1.93B
204,VSTS,Vestis Corporation,2.80B,-1.01%,1284622,-
205,QS,QuantumScape Corporation,2.80B,-5.10%,7197636,-
206,KSS,Kohl's Corporation,2.78B,-0.63%,6017428,17.54B
207,CCS,"Century Communities, Inc.",2.78B,-2.44%,578433,3.69B
208,LCII,LCI Industries,2.73B,-4.47%,329361,3.78B
209,ATAT,Atour Lifestyle Holdings Limited,2.72B,-1.82%,489816,520.90M
210,LGIH,"LGI Homes, Inc.",2.66B,-4.01%,192137,2.36B
211,ZKH,ZKH Group Limited,2.63B,3.02%,71012,1.16B
212,BOOT,"Boot Barn Holdings, Inc.",2.63B,-0.25%,594007,1.70B
213,LEG,"Leggett & Platt, Incorporated",2.59B,-1.64%,2029397,4.73B
214,MODG,Topgolf Callaway Brands Corp.,2.55B,-3.60%,2429772,4.28B
215,BLMN,"Bloomin' Brands, Inc.",2.51B,-1.25%,1101816,4.67B
216,ARCO,Arcos Dorados Holdings Inc.,2.50B,-0.76%,1828279,4.33B
217,FTDR,"Frontdoor, Inc.",2.50B,-4.61%,819263,1.78B
218,PATK,"Patrick Industries, Inc.",2.48B,-0.46%,188732,3.47B
219,GRBK,"Green Brick Partners, Inc.",2.42B,-1.80%,473579,1.78B
220,SG,"Sweetgreen, Inc.",2.41B,1.08%,3311930,584.04M
221,DRVN,Driven Brands Holdings Inc.,2.36B,-3.90%,1946004,2.30B
222,OI,"O-I Glass, Inc.",2.34B,-2.62%,1865044,7.11B
223,PTVE,Pactiv Evergreen Inc.,2.33B,-0.91%,247891,5.51B
224,PZZA,"Papa John's International, Inc.",2.32B,-2.60%,494892,2.14B
225,GTX,Garrett Motion Inc.,2.32B,-0.72%,1567360,3.89B
226,MBC,"MasterBrand, Inc.",2.25B,-0.83%,1279535,2.73B
227,ARHS,"Arhaus, Inc.",2.25B,-1.94%,1772975,1.29B
228,MCW,"Mister Car Wash, Inc.",2.24B,-4.82%,2179500,927.07M
229,MLKN,"MillerKnoll, Inc.",2.20B,-0.76%,820629,3.81B
230,FL,"Foot Locker, Inc.",2.18B,-1.16%,3039623,8.13B
231,FUN,"Cedar Fair, L.P.",2.18B,-0.51%,169700,1.80B
232,SIX,Six Flags Entertainment Corporation,2.17B,-0.62%,530592,1.43B
233,EAT,"Brinker International, Inc.",2.15B,-2.44%,1095358,4.25B
234,FOXF,Fox Factory Holding Corp.,2.13B,-6.82%,723383,1.46B
235,AMBP,Ardagh Metal Packaging S.A.,2.00B,-4.30%,703717,4.81B
236,BKE,"The Buckle, Inc.",1.92B,-1.28%,378768,1.28B
237,ODP,The ODP Corporation,1.89B,-2.16%,362960,7.83B
238,CAKE,The Cheesecake Factory Incorporated,1.87B,-1.91%,402559,3.44B
239,HBI,Hanesbrands Inc.,1.87B,-0.37%,8394804,5.64B
240,WGO,"Winnebago Industries, Inc.",1.86B,-2.74%,799533,3.30B
241,VSTO,Vista Outdoor Inc.,1.85B,-1.45%,575450,2.79B
242,EYE,"National Vision Holdings, Inc.",1.83B,-2.27%,730740,2.13B
243,SAH,"Sonic Automotive, Inc.",1.78B,-0.82%,191668,14.37B
244,THRM,Gentherm Incorporated,1.74B,-2.44%,180122,1.47B
245,SGHC,Super Group (SGHC) Limited,1.74B,-2.87%,261130,1.49B
246,DAN,Dana Incorporated,1.72B,-3.27%,1624460,10.56B
247,KAR,Openlane Inc.,1.70B,-0.89%,558122,1.65B
248,PHIN,PHINIA Inc.,1.70B,-2.36%,1040839,3.50B
249,OXM,"Oxford Industries, Inc.",1.66B,-1.53%,186369,1.55B
250,PTON,"Peloton Interactive, Inc.",1.62B,-1.36%,12493240,2.73B
251,CNNE,"Cannae Holdings, Inc.",1.60B,-0.50%,510407,570.00M
252,LZB,La-Z-Boy Incorporated,1.58B,-2.96%,487841,2.05B
253,BYON,"Beyond, Inc.",1.58B,1.47%,1384781,1.56B
