,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
253,BE,Bloom Energy Corporation,2.26B,-9.97%,9719182,1.33B
254,MIR,"Mirion Technologies, Inc.",2.24B,0.10%,1432903,800.90M
255,ATMU,Atmus Filtration Technologies Inc.,2.20B,1.07%,11873463,1.63B
256,PRIM,Primoris Services Corporation,2.17B,-1.13%,402099,5.72B
257,JBI,"Janus International Group, Inc.",2.13B,-0.75%,1306671,1.07B
258,TRN,"Trinity Industries, Inc.",2.13B,-2.04%,556525,2.98B
259,SXI,Standex International Corporation,2.12B,-0.03%,93603,735.83M
260,RKLB,"Rocket Lab USA, Inc.",2.10B,-2.80%,7454664,244.59M
261,TNC,Tennant Company,2.09B,-0.59%,118443,1.24B
262,ENR,"Energizer Holdings, Inc.",2.08B,-1.80%,413094,2.91B
263,HEES,"H&E Equipment Services, Inc.",2.08B,-1.00%,153566,1.47B
264,IESC,"IES Holdings, Inc.",2.05B,0.22%,93963,2.44B
265,HNI,HNI Corporation,2.02B,0.23%,477913,2.43B
266,SBLK,Star Bulk Carriers Corp.,2.00B,-1.98%,1367436,949.27M
267,KMT,Kennametal Inc.,1.98B,-3.88%,552841,2.07B
268,HLMN,Hillman Solutions Corp.,1.95B,-2.30%,954263,1.48B
269,POWL,"Powell Industries, Inc.",1.95B,-4.07%,380370,766.47M
270,B,Barnes Group Inc.,1.92B,-2.77%,261898,1.45B
271,SFL,SFL Corporation Ltd.,1.85B,-0.61%,701697,670.39M
272,AZZ,AZZ Inc.,1.82B,-0.87%,98565,1.51B
273,EPAC,Enerpac Tool Group Corp.,1.80B,-0.63%,214923,600.79M
274,UP,Wheels Up Experience Inc.,1.78B,6.25%,774057,1.25B
275,MRCY,"Mercury Systems, Inc.",1.77B,-1.47%,395517,895.17M
276,CODI,Compass Diversified,1.76B,-0.81%,180209,2.06B
277,HURN,Huron Consulting Group Inc.,1.75B,-2.02%,175112,1.40B
278,UPWK,Upwork Inc.,1.73B,-2.70%,2052793,689.14M
279,GIC,Global Industrial Company,1.71B,-1.34%,188581,1.27B
280,ULCC,"Frontier Group Holdings, Inc.",1.64B,-2.76%,1133949,3.59B
281,ACHR,Archer Aviation Inc.,1.60B,-4.86%,6372112,-
282,JELD,"JELD-WEN Holding, Inc.",1.59B,-3.23%,458851,4.30B
